Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
KING WRAP CHICKEN CHEESE & BACON,Absent,Absent,Traces,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING WRAP CHICKEN LOUISIANE,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING WRAP VEGGIE CHICKEN LOUISIANE,Absent,Absent,Absent,Absent,Présent,Absent,Traces,Absent,Traces,Absent,Absent,Absent,Absent,Absent

SAUCE BEARNAISE,Traces,Absent,Absent,Traces,Présent,Traces,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE SAVEUR WASABI,Traces,Absent,Absent,Traces,Présent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE NOIRE A L'AIL ET AU GINGEMBRE,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE AU POIVRE,Traces,Absent,Présent,Présent,Absent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE A LA MOUTARDE A L'ANCIENNE,Traces,Absent,Absent,Traces,Présent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CREMEUSE A L'ÉCHALOTE,Traces,Absent,Absent,Présent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE CHEDDAR,Traces,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
VIANDE BOVINE GRILLÉE À LA FLAMME,Traces,Absent,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
BACON,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
BACON VEGETAL,Traces,Absent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CRISPY CHICKEN,Présent,Absent,Traces,Traces,Traces,Présent,Absent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
